Time,Home Value,Equity,HEP Expectation
600,229279.5824,4934.488158,38465.13933
630,229521.3905,5176.296294,38657.92429
660,228444.8588,4099.764626,37799.64418
690,228416.4894,4071.395154,37777.02621
720,258112.3473,33767.25304,61452.46947
750,257207.8248,32862.73059,60731.32613
780,255727.6611,31382.56693,59551.24469
810,257920.2411,33575.14692,61299.31014
840,255461.7577,31116.66346,59339.24939
870,259692.8169,35347.72272,62712.5213
900,260455.158,36110.06382,63320.30854
930,266248.4807,41903.3865,67939.11709
960,266774.7093,42429.61507,68358.66027
990,262653.2915,38308.19727,65072.80156
1020,262084.5231,37739.42885,64619.34288
1050,261120.6312,36775.53695,63850.86642
1080,261702.3497,37357.25546,64314.64974
1110,265694.2237,41349.12947,67497.22782
1140,259948.2733,35603.17909,62916.18751
1170,260437.5958,36092.50158,63306.30679
1200,297621.018,73275.92376,92951.31672
1230,291896.3741,67551.27993,88387.26335
1260,293152.7094,68807.61516,89388.8944
1290,295124.0362,70778.94196,90960.56262
1320,292448.0727,68102.97853,88827.11287
1350,295671.7354,71326.64121,91397.2236
1380,297316.2632,72971.16898,92708.34665
1410,301387.9243,77042.83006,95954.53611
1440,300359.8712,76014.77696,95134.90622
1470,298837.3355,74492.24128,93921.04309
1500,303848.2569,79503.16265,97916.07111
1530,305183.0223,80837.92805,98980.23173
1560,306772.1518,82427.0576,100247.1878
1590,309595.5676,85250.47342,102498.196
1620,314359.3888,90014.29454,106296.2199
1650,315925.4206,91580.32641,107544.761
1680,309096.2145,84751.12025,102100.0796
1710,316074.2515,91729.15726,107663.4185
1740,316758.514,92413.41976,108208.9564
1770,314806.5061,90461.41191,106652.6905
1800,319612.7203,95267.62606,110484.5128
Time,Home Value,Equity,HEP Expectation
0,102129.3448,47916.04009,46546.21762
1,102300.8262,48087.5215,46682.9336
2,102279.0727,48065.768,46665.59031
3,102414.2753,48200.97058,46773.38248
4,102305.0697,48091.76498,46686.31677
5,102103.1554,47889.8507,46525.33775
6,101984.8984,47771.59364,46431.05563
7,101869.7569,47656.45217,46339.25747
8,102004.128,47790.8233,46446.38676
9,101981.0308,47767.72609,46427.97218
10,102168.4289,47955.12421,46577.37798
11,102073.0459,47859.74117,46501.3325
12,101649.4747,47436.16997,46163.63436
13,101374.8387,47161.53392,45944.67689
14,101673.5127,47460.20796,46182.79899
15,101854.6495,47641.34472,46327.21284
16,101961.5047,47748.19997,46412.4047
17,101753.5273,47540.2226,46246.5918
18,101547.8762,47334.57151,46082.63356
19,101456.7892,47243.48443,46010.01309
20,101638.9617,47425.657,46155.25275
21,101755.4159,47542.11121,46248.09752
22,102003.0412,47789.73651,46445.5203
23,102280.7003,48067.3956,46666.88794
24,102137.9983,47924.69359,46553.11674
25,102219.6856,48006.38091,46618.24311
26,102183.7957,47970.49095,46589.62934
27,102269.176,48055.87122,46657.69996
28,102522.0707,48308.76597,46859.32389
29,102476.0516,48262.74689,46822.63452
30,102758.3942,48545.08947,47047.73614
60,101982.3967,47769.09201,46429.06118
90,102689.1668,48475.86206,46992.54361
120,103732.7224,49519.41766,47824.53309
150,105662.081,51448.77629,49362.74158
180,104333.7219,50120.41718,48303.68847
210,117077.2295,62863.92478,58463.63038
240,114677.4523,60464.14758,56550.37401
270,114940.0554,60726.75069,56759.73807
300,115390.6981,61177.39336,57119.01932
330,115141.6877,60928.38292,56920.49222
360,116005.4304,61792.12568,57609.12337
390,116612.8525,62399.54772,58093.39919
420,116633.7737,62420.46891,58110.07891
450,117595.7737,63382.46899,58877.0471
480,117422.5936,63209.28888,58738.97679
510,117320.3449,63107.04015,58657.45755
540,117991.3353,63778.0306,59192.41419
570,118922.8542,64709.54947,59935.0808
600,120832.8456,66619.5409,61457.84852
630,119519.4434,65306.1387,60410.72001
660,119692.052,65478.74728,60548.33465
690,118735.6503,64522.3456,59785.82986
720,119413.518,65200.21326,60326.26946
750,120570.7363,66357.43157,61248.87814
780,120856.0866,66642.78183,61476.37768
810,120744.6467,66531.34197,61387.53067
840,120122.1554,65908.85071,60891.2407
870,119721.0244,65507.71969,60571.43331
900,120101.824,65888.51922,60875.03113
930,121225.8412,67012.53648,61771.16981
960,121930.0585,67716.75374,62332.61699
990,122529.0672,68315.76246,62810.18517
1020,121103.3505,66890.04581,61673.51238
1050,122591.6671,68378.36237,62860.09384
1080,123788.8723,69575.56753,63814.58261
1110,123427.8209,69214.51619,63526.72931
1140,123614.6475,69401.34277,63675.67945
1170,123944.4224,69731.11761,63938.59712
1200,125817.4723,71604.16755,65431.91271
1230,124217.7335,70004.42872,64156.49827
1260,125291.3048,71078.00005,65012.41821
1290,124762.3718,70549.06705,64590.71889
1320,125802.1496,71588.84485,65419.69646
1350,126631.8017,72418.49693,66081.14833
1380,125975.8321,71762.52732,65558.16728
1410,127422.0307,73208.726,66711.16966
1440,127966.7114,73753.4067,67145.42405
1470,125961.0173,71747.71253,65546.35597
1500,126899.9644,72686.65971,66294.94491
1530,128428.0909,74214.78614,67513.26534
1560,129667.9503,75454.64553,68501.76081
1590,130380.4894,76167.18468,69069.84274
1620,131113.2466,76899.94182,69654.04374
1650,130431.3105,76218.00579,69110.36059
1680,130191.731,75978.42623,68919.35239
1710,131154.8953,76941.59056,69687.24879
1740,132926.2135,78712.90876,71099.45731
1770,133520.0418,79306.73706,71572.89533
1800,132815.824,78602.51926,71011.44771
Time,Home Value,Equity,HEP Expectation
0,628282.135,195919.8899,222748.8181
